player_id,player_name,surface,ranking,ace,df,firstIn,firstWon,secondWon,bpFaced,bpSaved,SvGms
 104755,Richard Gasquet    ,Gras               ,14,22,5,86,73,19,7,6,22
 104755,Richard Gasquet    ,Hard               ,12,8,2,48,37,17,3,2,13
 104792,Gael Monfils       ,Clay               ,27,7,5,66,44,20,11,7,16
 104792,Gael Monfils       ,Gras               ,21,17,2,74,55,15,5,3,17
 104792,Gael Monfils       ,Hard               ,25,9,4,47,37,16,4,3,13
 104797,Denis Istomin      ,Clay               ,49,9,2,71,55,19,5,3,18
 104797,Denis Istomin      ,Gras               ,45,14,1,70,55,16,4,2,18
 104797,Denis Istomin      ,Hard               ,53,13,1,69,51,19,7,5,16
 104871,Jeremy Chardy      ,Clay               ,46,6,3,42,34,15,4,3,12
 104871,Jeremy Chardy      ,Gras               ,42,18,5,80,65,32,8,5,23
 104871,Jeremy Chardy      ,Hard               ,37,13,7,63,50,23,8,6,16
 104882,Blaz Kavcic        ,Hard               ,94,8,5,68,50,17,10,7,16
 104890,Andreas Haider Maur,Clay               ,104,14,9,77,61,30,6,2,24
 104890,Andreas Haider Maur,Gras               ,95,7,4,54,45,17,6,5,14
 104898,Robin Haase        ,Clay               ,50,10,1,61,46,22,4,4,15
 104898,Robin Haase        ,Gras               ,53,12,2,84,70,28,5,4,22
 104898,Robin Haase        ,Hard               ,46,1,3,28,25,16,0,0,10
 104918,Andy Murray        ,Clay               ,8,5,3,62,43,25,8,5,17
 104918,Andy Murray        ,Gras               ,5,9,2,50,42,12,2,2,13
 104918,Andy Murray        ,Hard               ,7,6,3,48,37,18,5,3,13
 104919,Leonardo Mayer     ,Clay               ,65,10,8,69,54,26,8,5,20
 104919,Leonardo Mayer     ,Gras               ,64,15,4,79,63,27,8,7,20
 104919,Leonardo Mayer     ,Hard               ,50,10,2,32,27,14,2,1,10
 104925,Novak Djokovic     ,Clay               ,2,4,1,55,39,16,5,3,14
 104925,Novak Djokovic     ,Gras               ,2,12,2,80,61,23,5,4,19
 104925,Novak Djokovic     ,Hard               ,2,6,2,48,38,14,3,2,12
 104926,Fabio Fognini      ,Clay               ,14,4,4,52,37,19,5,2,14
 104926,Fabio Fognini      ,Gras               ,15,7,5,82,58,30,13,8,22
 104926,Fabio Fognini      ,Hard               ,17,5,5,46,34,20,8,5,13
 104932,Kenny De Schepper  ,Clay               ,72,2,0,9,7,3,0,0,2
 104932,Kenny De Schepper  ,Hard               ,86,19,13,84,63,20,13,11,18
 104979,Andrey Golubev     ,Clay               ,59,2,2,46,30,10,5,1,11
 104997,Igor Sijsling      ,Clay               ,53,1,3,51,39,14,7,5,12
 105023,Sam Querrey        ,Clay               ,67,24,3,71,59,17,10,10,15
 105023,Sam Querrey        ,Gras               ,67,25,6,81,70,26,9,8,21
 105023,Sam Querrey        ,Hard               ,54,16,3,50,42,19,4,3,14
